sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.11872999999999999;2.59326e-07;9.9421432e-08;-1.59905e-07
-0.117655;2.60967e-07;1.0073299999999999e-07;-1.60233e-07
-0.11658099999999999;2.62717e-07;1.02046e-07;-1.60671e-07
-0.115506;2.64467e-07;1.03249e-07;-1.61218e-07
-0.11443199999999999;2.6632599999999997e-07;1.04562e-07;-1.61764e-07
-0.113357;2.68186e-07;1.05874e-07;-1.62311e-07
-0.112283;2.70264e-07;1.07296e-07;-1.62968e-07
-0.111208;2.7223299999999997e-07;1.08718e-07;-1.63514e-07
-0.110134;2.7453e-07;1.10249e-07;-1.6427999999999999e-07
-0.10905899999999999;2.76608e-07;1.11671e-07;-1.64936e-07
-0.107985;2.78904e-07;1.13311e-07;-1.65593e-07
-0.10690999999999999;2.81311e-07;1.1484299999999999e-07;-1.66468e-07
-0.105836;2.83608e-07;1.16265e-07;-1.67343e-07
-0.10476099999999999;2.85904e-07;1.17905e-07;-1.67999e-07
-0.103687;2.8842e-07;1.1943599999999999e-07;-1.68983e-07
-0.102612;2.91154e-07;1.21186e-07;-1.69967e-07
-0.10153799999999999;2.9367e-07;1.22718e-07;-1.70952e-07
-0.100463;2.96404e-07;1.24577e-07;-1.71827e-07
-0.099389504;2.9902899999999997e-07;1.26218e-07;-1.72811e-07
-0.098315016;3.01764e-07;1.27968e-07;-1.73796e-07
-0.097240536;3.04826e-07;1.29827e-07;-1.74999e-07
-0.096166048;3.07451e-07;1.31577e-07;-1.75874e-07
-0.09509157600000001;3.10623e-07;1.33546e-07;-1.77077e-07
-0.09401709600000001;3.13686e-07;1.35296e-07;-1.78389e-07
-0.09294260800000001;3.16639e-07;1.37265e-07;-1.79374e-07
-0.091868136;3.1991999999999997e-07;1.39343e-07;-1.80577e-07
-0.090793648;3.23201e-07;1.41311e-07;-1.81889e-07
-0.089719168;3.26701e-07;1.43389e-07;-1.83311e-07
-0.088644688;3.29982e-07;1.45468e-07;-1.84514e-07
-0.08757020800000001;3.33482e-07;1.47546e-07;-1.85936e-07
-0.08649572800000001;3.37092e-07;1.49733e-07;-1.87358e-07
-0.08542124000000001;3.40592e-07;1.51811e-07;-1.8878e-07
-0.08434676;3.44529e-07;1.54108e-07;-1.90421e-07
-0.08327228;3.48467e-07;1.56405e-07;-1.92061e-07
